programme_id,university_name,programme_title,programme_website_url,status
w7429,magdeburg,data knowledge engineering,http://www.ovgu.de/Studium/Studienangebot/Master/Data+and+Knowledge+Engineering.html,found
w49857,constructor,data engineering,,not_found
w54981,munich,data engineering analytics,https://www.cit.tum.de/cit/studium/studiengaenge/master-data-engineering-analytics/,found
w53975,marburg,data science,,not_found
w58177,berlin,data science,,not_found
w60824,bielefeld,data science,,not_found
w61588,trier,data science,,not_found
w64061,free berlin,data science,,not_found
w64134,iu international,data science,,not_found
w64410,rwth aachen,data science,https://www.rwth-aachen.de/go/id/pzpc?#aaaaaaaaaaapzpd,found
w64790,erlangennuremberg,data science,,not_found
w64805,braunschweig,data science,,not_found
w65199,europe,data science,,not_found
w66982,hamburg,data science,,not_found
w69119,fulda,data science,,not_found
w70182,greifswald,data science,,not_found
w7041,dortmund,data science,https://www.tu-dortmund.de/studierende/studienangebot/data-science-48/,found
w72756,ilmenau,data science,,not_found
w72869,catholic eichstätt ingolstadt,data science,,not_found
w73001,augsburg,data science,,not_found
w73519,regensburg,data science,,not_found
w74901,xu exponential,data science,,not_found
w76328,münster,data science,,not_found
w70803,bielefeld arts hsbi,data science research,,not_found
w63909,saarland,data science ai,https://saarland-informatics-campus.de/studium-studies/master-deutsch/,found
w73355,hamburg,data science ai,https://www.uni-hamburg.de/campuscenter/studienangebot/studiengang.html?1713942448,found
w73210,oldenburg,data science machine learning,,not_found
w73395,dortmund,data science sports health,,not_found
w76998,erlangennuremberg,data science human multimodal communication multicom,,not_found
w64772,gisma,data science ai digital business,,not_found
w72981,srh heidelberg,data science business analytics,,not_found
w44336,rhinewaal,design interaction,,not_found
w70241,europe,devops,,not_found
w67862,iu international,devops cloud computing,,not_found
w59183,bayerischen wirtschaft für angewandte wissenschaften hdbw,digital business modelling entrepreneurship,,not_found
w58999,bauhausuniversität weimar,digital engineering,,not_found
w64371,european viadrina frankfurt oder,digital entrepreneurship,,not_found
w72392,weihenstephantriesdorf,digital farming,,not_found
w51043,deggendorf,digital health,,not_found
w67297,srh heidelberg,digital health data science,,not_found
w60523,potsdam,digital health at hasso plattner institute,,not_found
w64964,neuulm,digital innovation management,,not_found
w77134,neuulm,digital leadership information management,https://www.hnu.de/studienberatung,found
w64881,köln,digital,,not_found
w67457,srh heidelberg,digital supply chain management,,not_found
w58006,dortmund arts,digital transformation,,not_found
w63861,xu exponential,digital transformation sustainability,,not_found
w64728,srh heidelberg,digital transformation management,,not_found
w65263,bayreuth,digitalisation sustainability materials science engineering,,not_found
w40009,koblenz,egovernment,,not_found
w64087,dortmund,econometrics,https://www.tu-dortmund.de/studierende/studienangebot/econometrics-830/,found
w34385,saarland,educational,,not_found
w72321,west saxon zwickau,embedded autonomous systems,,not_found
w58645,saarland,embedded systems,,not_found
w40759,freiburg,embedded systems engineering,,not_found
w46655,dortmund arts,embedded systems engineering,,not_found
w64711,ingolstadt,engineering management,https://www.thi.de/wirtschaftsingenieurwesen/studiengaenge/engineering-and-management-msc,found
w70007,bremen,engineering management space systems,,not_found
w70345,siegen,engineering hydroenvironmental extremes,,not_found
w58377,oldenburg,engineering sociotechnical systems,,not_found
w63849,offenburg,enterprise it security,,not_found
w64706,ingolstadt,entrepreneurship corporate venturing,,not_found
w35054,rhinelandpalatinate kaiserslauternlandau,european s degree embedded computing systems emecs,,not_found
w31781,karlsruhe institute karlsruhe,financial engineering,,not_found
w9520,eberswalde sustainable development,forest information,,not_found
w64989,mediumsized companies fhm,general management,,not_found
w70242,europe,generative design ai,,not_found
w39353,augsburg,geoinformatics,,not_found
w64461,trier,geoinformatics,,not_found
w63807,hannover,geodesy geoinformatics,,not_found
w17259,munich,geodesy geoinformation,,not_found
w12886,berlin,geodesy geoinformation science,,not_found
w20658,münster,geoinformatics spatial data science,,not_found
w6340,karlsruhe,geomatics,,not_found
w14504,neubrandenburg,geomatics,,not_found
w48425,fulda,global software development,,not_found
w9362,frankfurt,high integrity systems,,not_found
w64732,deggendorf,high performance computing quanmunich computing,,not_found
w72570,nuremberg,human ai,,not_found
w19928,sports cologne,human sports medicine,,not_found
w73745,regensburg,humancentred ai,,not_found
w7078,rwth aachen,humancentred intelligent system,,not_found
w44824,bauhausuniversität weimar,humancomputer interaction,,not_found
w29058,siegen,humancomputer interaction,,not_found
w73251,albstadtsigmaringen engineering economics,industrial ai,,not_found
w29281,emdenleer,industrial informatics,,not_found
w76948,srh heidelberg,infomation business transformation,,not_found
w65029,south westphalia,informatics business,,not_found
w72904,hamburg,information communications engineering,,not_found
w44338,rhinewaal,information engineering computerscience,,not_found
w70911,munich,information engineering at heilbronn campus,,not_found
w22519,münster,information systems,,not_found
w70248,fh aachen,information systems,,not_found
w7857,munich,information systems business informatics,,not_found
